City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
65,Saskylakh,RU,71.9167,114.0833,25.48,95,99,11.61,overcast clouds
66,Luderitz,NA,-26.6481,15.1594,57.2,77,0,18.01,clear sky
67,Tomatlan,MX,19.9333,-105.25,74.25,94,100,5.3,overcast clouds
68,Cayenne,GF,4.9333,-52.3333,77.04,94,0,0.0,clear sky
69,Cape Town,ZA,-33.9258,18.4232,59.88,84,95,5.01,overcast clouds
70,Gunjur,GM,13.2019,-16.7339,77.07,88,40,0.0,moderate rain
71,Muros,ES,42.7762,-9.0603,57.83,91,100,5.75,overcast clouds
72,Vestmannaeyjar,IS,63.4427,-20.2734,50.05,90,100,16.02,overcast clouds
73,Provideniya,RU,64.3833,-173.3,39.36,87,40,13.42,scattered clouds
74,Constitucion,CL,-35.3333,-72.4167,50.94,91,81,7.07,broken clouds
75,Mokhsogollokh,RU,61.4681,128.9203,29.68,54,100,9.42,overcast clouds
76,Lorengau,PG,-2.0226,147.2712,85.59,66,15,10.67,few clouds
77,Chuy,UY,-33.6971,-53.4616,52.0,93,3,7.87,clear sky
78,Hithadhoo,MV,-0.6,73.0833,81.52,68,89,14.81,overcast clouds
79,Sitka,US,57.0531,-135.33,55.29,67,75,0.0,broken clouds
80,Annamalainagar,IN,11.4,79.7333,79.84,73,100,10.16,overcast clouds
81,Teguldet,RU,57.3064,88.1667,29.91,75,32,1.77,scattered clouds
82,Bowen,AU,-20.0167,148.2333,77.74,68,97,14.85,overcast clouds
83,Atmakur,IN,15.8833,78.5833,75.83,82,100,4.09,overcast clouds
84,Torbay,CA,47.6666,-52.7314,45.27,75,100,12.75,overcast clouds
85,San Patricio,US,28.017,-97.5169,78.84,49,100,5.84,overcast clouds
86,Sabang,ID,5.8933,95.3214,81.99,75,21,20.62,few clouds
87,Castro,BR,-24.7911,-50.0119,57.22,96,8,5.08,clear sky
88,Bella Union,UY,-30.2752,-57.6007,56.59,76,0,7.7,clear sky
89,Port Alfred,ZA,-33.5906,26.891,64.9,86,38,22.79,scattered clouds
90,Svetlaya,RU,46.5389,138.3297,63.39,71,72,13.24,broken clouds
91,Vostok,RU,46.4856,135.8833,65.01,51,92,7.9,overcast clouds
92,Bicaz Chei,RO,46.8167,25.8833,43.39,91,67,5.82,broken clouds
93,Aykhal,RU,66.0,111.5,19.99,93,100,11.52,overcast clouds
94,Tavda,RU,58.0425,65.2726,42.53,51,100,11.5,overcast clouds
95,Novyy Urengoy,RU,66.0833,76.6333,33.93,73,100,14.03,overcast clouds
96,Tevaitoa,PF,-16.7833,-151.5,78.98,72,12,14.14,few clouds
